latitude,longitude,rides_departure,rides_arrival,station,arrondissement
45.379756292248274,-71.92877769470215,354.0,287.0,U. de Sherbrooke (Pavillon de la vie étudiante - Voie 3),Sherbrooke
45.37985049196486,-71.92439496517181,439.0,290.0,U. de Sherbrooke (Pavillon Marie-Victorin - Voie 1),Sherbrooke
45.38353015680978,-71.89882329666942,589.0,579.0,Veilleux / Dunant,Sherbrooke
45.386382610951244,-71.90125657249155,127.0,116.0,de l'Ancienne-Carrière / de Kingston,Sherbrooke
45.38706607049603,-71.92677057350011,598.0,623.0,Galt Ouest / Tétreault,Sherbrooke
45.388777731160616,-71.91535416525767,433.0,397.0,Denault / Claire-Jolicoeur,Sherbrooke
45.38954597602301,-71.89558050597041,382.0,361.0,McManamy / Belvédère Sud,Sherbrooke
45.38971173871128,-71.90527400935025,260.0,230.0,Galt Ouest / McManamy,Sherbrooke
45.39093551199074,-71.89041508365335,210.0,200.0,LaRocque / de Mère-Teresa,Sherbrooke
45.39415512777145,-71.92819482648702,718.0,688.0,Parc Lucien-Blanchard (de la Pointe / Cabana),Sherbrooke
45.39475408270513,-71.8959721084866,566.0,564.0,Galt Ouest / Belvédère Sud,Sherbrooke
45.396856322807075,-71.8965297518389,1288.0,1329.0,Marché de la Gare (Belvédère Sud / de la Gare),Sherbrooke
45.39763858336149,-71.91799572670789,1094.0,1113.0,Parc Jacques-Cartier (Marcil / Jacques-Cartier Sud),Sherbrooke
45.3981913585455,-71.87662131154866,391.0,360.0,Murray / Woodward,Sherbrooke
45.39824503489372,-71.91116816366048,229.0,256.0,Marcil / King Ouest,Sherbrooke
45.39947752018981,-71.88917446416781,840.0,1024.0,Wellington Sud / Sanborn,Sherbrooke
45.399763960241955,-71.89294255340427,524.0,491.0,Gillespie / King Ouest,Sherbrooke
45.40139395807987,-71.90781003797383,183.0,175.0,de l'Ontario / Walton,Sherbrooke
45.403239537223556,-71.87970987522931,357.0,318.0,Murray / du Conseil,Sherbrooke
45.40335141501223,-71.90179291647836,296.0,289.0,Queen-Victoria / de Portland,Sherbrooke
45.40404366356447,-71.8919192906651,858.0,940.0,Wellington Nord / Meadow,Sherbrooke
45.407669622720086,-71.87573618257375,187.0,177.0,7e Avenue Sud / King Est,Sherbrooke
45.40846555887441,-71.87262399125757,263.0,261.0,10e Avenue Nord / King Est,Sherbrooke
45.411252809596135,-71.88475150150224,389.0,368.0,Cégep de Sherbrooke (du Cégep / Terrill),Sherbrooke
45.41233566650505,-71.87564096415372,112.0,94.0,Parc Adrien-Cambron (7e Avenue Nord / Zéphirin-Cormier),Sherbrooke
45.416294661505354,-73.6129005253315,6389.0,6642.0,LaSalle / 37e avenue,LaSalle
45.41773748108526,-73.62338548639853,3022.0,3130.0,Parc Lacharité (Latour / Forget),LaSalle
45.41774583815495,-73.64518761634827,6533.0,6659.0,LaSalle / 90e avenue,LaSalle
45.42070552680549,-73.62966051438889,2611.0,2827.0,de la Vérendrye / 75e avenue,LaSalle
45.422451407155854,-73.601194024086,9699.0,10115.0,Gagne / LaSalle,LaSalle
45.42347069343563,-73.62264901399612,274.0,278.0,de la Vérendrye / Dollard,LaSalle
45.425059666150744,-73.64959917962551,1077.0,975.0,Terminus Newman (Airlie / Lafleur),LaSalle
45.425612687757926,-73.65713578464238,1619.0,1607.0,Gare LaSalle (Highlands),LaSalle
45.429166968311485,-73.66280972957611,2088.0,2251.0,Mairie d'arrondissement LaSalle (Dupras / Jeannette),LaSalle
45.42947143740888,-73.59309915918857,15764.0,16325.0,Parc des Rapides (LaSalle / 6e avenue),LaSalle
45.42969214118378,-73.6694884300232,20647.0,21307.0,du Canal / McLaughlin,Lachine
45.42971096449354,-73.633883446455,4061.0,4259.0,Gloria / Dollard,LaSalle
45.43147656303605,-73.6120918393135,213.0,241.0,Parc Leta-Graydon (Bouvier / Jacqueline-Sicotte),LaSalle
45.431518914135125,-73.67110446095467,7634.0,7924.0,St-Joseph / 8e avenue Lachine,Lachine
45.432839840726125,-73.69349151849747,6320.0,6477.0,Parc St-Louis (St-Joseph / 34e avenue),Lachine
45.43289463113104,-73.59685689210892,4751.0,5029.0,2e avenue / Centrale,LaSalle
45.43352120253739,-73.68354320526123,6609.0,6987.0,St-Joseph Lachine / 21e avenue,Lachine
45.43392910987164,-73.63002508878708,1542.0,1579.0,Juliette / Lise,LaSalle
45.43498715540587,-73.67079868912697,2693.0,2895.0,8e avenue / Notre-Dame Lachine,Lachine
45.43579350588776,-73.6801904439926,3121.0,3368.0,Victoria / 18e avenue Lachine,Lachine
45.43605512104547,-73.60577523708344,9279.0,9423.0,Cégep André-Laurendeau (Lapierre),LaSalle
45.43656827071224,-73.70836973190308,2777.0,2888.0,Parc Stoney-Point (St-Joseph / 47e avenue),Lachine
45.43791516514076,-73.58253550531117,9645.0,10106.0,LaSalle / Crawford,Verdun
45.438047191290174,-73.66213381290436,134.0,154.0,Parc Jenkins (Jenkins / Skaniatarati),Lachine
45.43805550384184,-73.67273926734924,3259.0,3531.0,Parc LaSalle (10e avenue / Victoria),Lachine
45.43836713933041,-73.71546685695648,3435.0,3568.0,Parc Summerlea (53e avenue / St-Joseph),Lachine
45.43854405099729,-73.62021625041962,4609.0,4694.0,Lapierre / Serge,LaSalle
45.43914465255811,-73.59173655509949,3227.0,3682.0,Parc Reine-Élizabeth (Penniston / Crawford),Verdun
45.43982382100397,-73.69487822055817,1473.0,1583.0,Parc Grovehill (St-Antoine / Ivan-Franko),Lachine
45.43993803436114,-73.68146234754022,1779.0,1851.0,St-Antoine / 19e avenue,Lachine
45.44001578400139,-73.70019972324371,938.0,1014.0,Victoria / 39e avenue,Lachine
45.44053238705948,-73.70242863893507,175.0,205.0,Victoria / 41e avenue,Lachine
45.4423746754694,-73.61801972726425,2155.0,2111.0,Newman / Léger,LaSalle
45.44255264540259,-73.71770113706589,1687.0,1711.0,Parc Dixie (Dixie / 54e avenue),Lachine
45.44399416418605,-73.6138916015625,3529.0,3620.0,Newman / Senkus,LaSalle
45.4443505862464,-73.57542979723802,15767.0,16927.0,Natatorium (LaSalle / Rolland),Verdun
45.44527192876118,-73.62448364496231,4347.0,4435.0,Travaux publics LaSalle (Cordner / Léger),LaSalle
45.44606092178209,-73.65079946815968,4393.0,4774.0,Parc Kirkland (des Érables / Boyer),Lachine
45.44650450192042,-73.6025619506836,17133.0,17550.0,Métro Angrignon (Lamont / des Trinitaires),Le Sud-Ouest
45.44693448484644,-73.57219934463501,19463.0,21245.0,LaSalle / Godin,Verdun
45.447821314280105,-73.71091783046722,953.0,712.0,Gare Lachine (Sir George Simpson / 48e avenue),Lachine
45.44791581215845,-73.58381867408752,10711.0,12368.0,Beurling / Godin,Verdun
45.44826204820947,-73.57785612344742,10855.0,12001.0,Bibliothèque de Verdun (Brown / Bannantyne),Verdun
45.44843408492706,-73.6129454523325,6643.0,6565.0,Carrefour Angrignon (Angrignon / Newman),LaSalle
45.44890342900198,-73.6049048602581,10464.0,10754.0,Irwin / Allard,LaSalle
45.450020323797766,-73.60030621290207,7047.0,7464.0,Jogues / Allard,Le Sud-Ouest
45.450729976972944,-73.5725748538971,20777.0,22444.0,Beatty / de Verdun,Verdun
45.451030919298056,-73.5939010977745,5680.0,5943.0,Métro Monk (Allard / Beaulieu),Le Sud-Ouest
45.45133291842274,-73.59250903129578,12818.0,13397.0,Métro Monk (Allard / Briand),Le Sud-Ouest
45.45290792768395,-73.58918591405198,8094.0,8795.0,Egan / Laurendeau,Le Sud-Ouest
45.45297215862998,-73.59934866428375,2815.0,2933.0,Hurteau / Springland,Le Sud-Ouest
45.45301583620112,-73.57191503047943,8900.0,9414.0,Argyle / de Verdun,Verdun
45.453318765468914,-73.5767751932144,13939.0,15191.0,Argyle / Bannantyne,Verdun
45.4533311522553,-73.59767496585846,2016.0,2206.0,d'Aragon / Springland,Le Sud-Ouest
45.45381979371188,-73.57238446649716,10161.0,10617.0,Melrose / de Verdun,Verdun
45.45474981766794,-73.64043474197388,6051.0,6527.0,Gare Montréal-Ouest (Coffee / Elmhurst),Côte-des-Neiges - Notre-Dame-de-Grâce
45.454791592731134,-73.64039182662964,2087.0,2336.0,Coffee / Elmhurst,Côte-des-Neiges - Notre-Dame-de-Grâce
45.45523900436301,-73.6417007446289,1754.0,1936.0,Patricia / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce
45.455294517774085,-73.60327452426645,37.0,31.0,Parc Ignace-Bourget (de Montanagny / Newman),Le Sud-Ouest
45.45542715196195,-73.56789708137512,13364.0,13824.0,6e avenue / Wellington,Verdun
45.45604069169298,-73.59742097561139,12408.0,12682.0,Hamilton / Jolicoeur,Le Sud-Ouest
45.45608545783109,-73.58193710446358,18221.0,18931.0,Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest
45.456365,-73.57614,6991.0,7603.0,5e avenue / Bannantyne,Verdun
45.45649192816104,-73.57604078018994,5206.0,5384.0,3e avenue / Bannantyne,Verdun
45.45682318753668,-73.546804189682,9602.0,9793.0,Parc Dan-Hanganu (Elgar / de l'Île-des-Sœurs),Verdun
45.45686162938348,-73.57212341392369,16238.0,16906.0,4e avenue / de Verdun,Verdun
45.45724086262233,-73.5678219795227,34093.0,36054.0,3e avenue / Wellington,Verdun
45.45750908083069,-73.6394852399826,17134.0,19111.0,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),Côte-des-Neiges - Notre-Dame-de-Grâce
45.45760820718457,-73.59051011502743,10998.0,11798.0,Dubois / Eadie,Le Sud-Ouest
45.45806687938218,-73.65053331752279,634.0,670.0,Trenholme / Fielding,Côte-des-Neiges - Notre-Dame-de-Grâce
45.458663192410306,-73.59602272510529,7570.0,7929.0,Monk / de Biencourt,Le Sud-Ouest
