,station
0,Milton / du Parc
1,8e Avenue / 15e rue
2,du Chardonneret / de la Volière
3,Parc Howard (de l'Épée / de Liège)
4,Gillespie / King Ouest
5,Industriel / Dagenais O
6,Clark / St-Viateur
7,Ste-Catherine / Drummond
8,Cégep André-Laurendeau (Lapierre)
9,Métro Lasalle (de Rushbrooke / Caisse)
10,de la Montagne / Sherbrooke
11,Lanouette / de l'Église
12,Shearer / Centre
13,de Hampton / Somerled
14,St-Philippe / St-Ambroise
15,Parc de Turin (de Lanaudière / Jean-Talon)
16,de Lanaudière / Laurier
17,Prince-Arthur / du Parc
18,St-Laurent / de Chambly
19,Parc des Hirondelles (Bousquet / Patenaude)
20,14e avenue / Jean-Talon
21,15e Rue / Robin
22,Métro Snowdon (Circle / Queen-Mary)
23,Jeanne-Mance / Sherbrooke
24,Sherbrooke / Jeanne-d'Arc
25,de la Côte-Ste-Catherine / Davaar
26,St-André / Ste-Catherine
27,de Maisonneuve / Mansfield (sud)
28,Montcalm / de Maisonneuve
29,8e avenue / Dandurand
30,Victoria / Bouchette
31,St-Dominique / Napoléon
32,Complexe Desjardins (St-Urbain / René-Lévesque)
33,6e avenue / Wellington
34,Mozart / Waverly
35,St-Antoine / Jean-Paul Riopelle
36,Parc Dixie (Dixie / 54e avenue)
37,Campus MIL (Thérèse-Lavoie Roux / Outremont)
38,Gare LaSalle (Highlands)
39,INRS (Cartier O / Armand-Frappier)
40,Élodie-Boucher / Samson
41,Union / René-Lévesque
42,Galt Ouest / Tétreault
43,Métro Jarry (Berri / Jarry)
44,Lévesque O / 91e Avenue
45,Aylmer / Sherbrooke
46,de Châteaubriand / Beaubien
47,Darling / Sherbrooke
48,St-Hubert / René-Levesque
49,Ste-Catherine / de Bullion
50,Parc Plage
51,de Mentana / Marie-Anne
52,Gary-Carter / St-Laurent
53,Parc Montcalm (Parkway / Montcalm)
54,de l'Hôtel-de-Ville / Rachel
55,de Côme / Houel
56,Larivière / du Bord-de-l'Eau
57,Marquette / Laurier
58,Mackay / Sherbrooke
59,de Bullion / Laurier
60,Guy / Sainte-Catherine
61,Parc Lacharité (Latour / Forget)
62,Édouard-Montpetit / Victoria
63,Darveau / de Lyon
64,Chambord / Rosemont
65,Parc Garibaldi (Liénart / Bélanger)
66,Dandurand / de Lorimier
67,Métro Plamondon (de Kent / Victoria)
68,Parc Hilda-Ramacière (de Bullion / Prince-Arthur)
69,Métro Langelier (Langelier / Sherbrooke)
70,Collège de Maisonneuve (Sherbrooke / Bourbonnière)
71,d'Orléans / Masson
72,Marquette / du Mont-Royal (sud)
73,Wilson / Sherbrooke
74,Laurier / St-Denis
75,de Maisonneuve / Wood
76,des Érables / Bélanger
77,St-Joseph / 8e avenue Lachine
78,Thérèse-Lavoix-Roux / Wiseman
79,Parc du Pélican (2e avenue / St-Joseph)
80,Alton-Goldbloom / Notre-Dame
81,de Bordeaux / St-Zotique
82,Métro Georges-Vanier (Terrasse Coursol / Canning)
83,Péloquin / Fleury
84,Ste-Famille / des Pins
85,des Pins / St-Laurent
86,Molson / Beaubien
87,de Brébeuf / du Mont-Royal
88,Sanguinet / de Maisonneuve
89,Métro Viau (Pierre-de-Coubertin / Viau)
90,Trenholme / Fielding
91,St-Antoine / de la Montagne
92,Lebrun / Notre-Dame
93,de la Cathédrale / René-Lévesque
94,Drolet / Marie-Anne
95,U. de Sherbrooke (Pavillon de la vie étudiante - Voie 3)
96,Queen / Wellington
97,Gilford / Papineau
98,Marie-Anne / Papineau
99,Le Ber / Ste-Madeleine
100,Messier / du Mont-Royal
101,Le Royer / St-Laurent
102,Bishop / Ste-Catherine
103,Parc Armand-Bombardier (Perras / Armand-Bombardier)
104,Beaudry / Sherbrooke
105,Mackay / René-Lévesque
106,Théâtre du Vieux-Terrebonne (St-Pierre / des Braves)
107,De Bullion / Marie-Anne
108,LaSalle / 37e avenue
109,Métro Place Saint-Henri (Charlebois / St-Ferdinand)
110,de Bordeaux / Masson
111,Métro Parc  (Hutchison / Ogilvy)
112,Bishop / Ste-Catherine
113,Parc Benny (Benny / de Monkland)
114,Parc Jenkins (Jenkins / Skaniatarati)
115,Galt Ouest / McManamy
116,Curé-Poirier / Joliette
117,Vallières / St-Laurent
118,du Champ-de-Mars / Gosford
119,Sherbrooke / Benny
120,Léa-Roback / Sir-Georges-Etienne-Cartier
121,de Rio / de Bohème
122,Rachel / de Brébeuf
123,Marcil / Sherbrooke
124,de Bordeaux / de Bellechasse
125,de Bullion / Roy
126,Fairmount / Hutchison
